run_id,finished_at_lima,order_id,status,detection_origin,site,appointment_date,appointment_hour,slots,submission_outcome,confirmation_source,defense_signal,duration_seconds,total_from_available_seconds,selection_seconds,captcha_solver_seconds,click_to_portal_response_seconds,screenshot_path,evidence_paths,message
***-092647-1ba25691,2026-07-06 09:26:57,order-***,partial,normal,LIMA-LA VICTORIA,21/07/2026,10:00,10,blocked_by_order_rule,,,9.511,4.188,1.719,,,04-reserva-captcha-tecnico-2captcha-***-092647-1ba25691-order-***-17641868845b41c0b2b4b25b9a3f2157-original-html.png,04-reserva-captcha-tecnico-2captcha-***-092647-1ba25691-order-***-17641868845b41c0b2b4b25b9a3f2157-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-092647-1ba25691-order-***-967e0364eae34f7d9ff2bec006395834.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092647-1ba25691-order-***-17641868845b41c0b2b4b25b9a3f2157-original-html.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092634-ca3e4deb,2026-07-06 09:26:44,order-***,partial,normal,LIMA-LA VICTORIA,21/07/2026,10:00,10,blocked_by_order_rule,,,9.797,3.594,1.781,,,04-reserva-captcha-tecnico-2captcha-***-092634-ca3e4deb-order-***-54adb8c9741a4ecbab012ff1bbb87990-original-html.png,04-reserva-captcha-tecnico-2captcha-***-092634-ca3e4deb-order-***-54adb8c9741a4ecbab012ff1bbb87990-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-092634-ca3e4deb-order-***-fc38f01246604b40abfb0cd0f298e778.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092634-ca3e4deb-order-***-54adb8c9741a4ecbab012ff1bbb87990-original-html.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092602-fa408640,2026-07-06 09:26:32,order-***,partial,normal,LIMA-LA VICTORIA,21/07/2026,10:00,10,blocked_by_order_rule,,,30.110,4.156,1.750,,,04-reserva-captcha-tecnico-2captcha-***-092602-fa408640-order-***-e3a6c429f1c54f59a5693bc51fe7b968-original-html.png,04-reserva-captcha-tecnico-2captcha-***-092602-fa408640-order-***-e3a6c429f1c54f59a5693bc51fe7b968-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-092602-fa408640-order-***-080f1c8fe2c74c918f155d5ff4201a55.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092602-fa408640-order-***-e3a6c429f1c54f59a5693bc51fe7b968-original-html.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092529-8336d91c,2026-07-06 09:25:59,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,12:00,10,blocked_by_order_rule,,,29.929,4.109,1.719,,,04-reserva-captcha-tecnico-2captcha-***-092529-8336d91c-order-***-9588e450289543d5808bf1f8bd282d5e-original-html.png,04-reserva-captcha-tecnico-2captcha-***-092529-8336d91c-order-***-9588e450289543d5808bf1f8bd282d5e-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-092529-8336d91c-order-***-55a33207cf1e433ba5364c95f7ed1da5.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092529-8336d91c-order-***-9588e450289543d5808bf1f8bd282d5e-original-html.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092154-3add598c,2026-07-06 09:22:24,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,10:00,20,blocked_by_order_rule,,,30.165,4.203,1.703,,,04-reserva-captcha-tecnico-2captcha-***-092154-3add598c-order-***-3e5bf1826a044a08818f96bf9387245c-original-html.png,04-reserva-captcha-tecnico-2captcha-***-092154-3add598c-order-***-3e5bf1826a044a08818f96bf9387245c-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-092154-3add598c-order-***-4df5c6db87174341b33fd229fa13b12c.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092154-3add598c-order-***-3e5bf1826a044a08818f96bf9387245c-original-html.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-092125-c7504c44,2026-07-06 09:21:52,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,09:00,20,blocked_by_order_rule,,,26.602,4.360,1.703,,,04-reserva-captcha-tecnico-2captcha-***-092125-c7504c44-order-***-4a1f7afa68c743f99a3f5e631d8e4ba2-original-html.png,04-reserva-captcha-tecnico-2captcha-***-092125-c7504c44-order-***-4a1f7afa68c743f99a3f5e631d8e4ba2-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-092125-c7504c44-order-***-8b3b54cd4dd345088d122a3af5084609.png | screenshots\06-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-092125-c7504c44-order-***-4a1f7afa68c743f99a3f5e631d8e4ba2-original-html.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-130721-521493a2,2026-07-04 13:07:35,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,11:00,,blocked_by_order_rule,,,13.421,3.156,1.656,,,04-reserva-captcha-tecnico-2captcha-***-130721-521493a2-order-***-c7b88f87d2d745b39793118eac3a8b2a-original-html.png,04-reserva-captcha-tecnico-2captcha-***-130721-521493a2-order-***-c7b88f87d2d745b39793118eac3a8b2a-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-130721-521493a2-order-***-968cfdc0f3bc44d99ceefd90fbe46227.png | screenshots\04-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-130721-521493a2-order-***-c7b88f87d2d745b39793118eac3a8b2a-original-html.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-130629-12cb507f,2026-07-04 13:06:45,order-***,partial,normal,LIMA-LA VICTORIA,20/07/2026,11:00,,blocked_by_order_rule,,,16.071,3.797,1.641,,,04-reserva-captcha-tecnico-2captcha-***-130629-12cb507f-order-***-2d27728793ff44cd98023e438282382f-original-html.png,04-reserva-captcha-tecnico-2captcha-***-130629-12cb507f-order-***-2d27728793ff44cd98023e438282382f-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-130629-12cb507f-order-***-ec47ffb406e241f19c9cfea060e57f3e.png | screenshots\04-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-130629-12cb507f-order-***-2d27728793ff44cd98023e438282382f-original-html.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-130535-c8ad544f,2026-07-04 13:05:53,order-***,partial,normal,LIMA-LA VICTORIA,06/07/2026,09:00,,blocked_by_order_rule,,,18.082,3.828,1.656,,,04-reserva-captcha-tecnico-2captcha-***-130535-c8ad544f-order-***-71fbc21260a142a79066507a119c294e-original-html.png,04-reserva-captcha-tecnico-2captcha-***-130535-c8ad544f-order-***-71fbc21260a142a79066507a119c294e-original-html.png | 03-modal-reserva-citas-cupo-disponible-***-130535-c8ad544f-order-***-df6d75e4b35a47138af2de7f992bdd25.png | screenshots\04-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-130535-c8ad544f-order-***-71fbc21260a142a79066507a119c294e-original-html.png,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
***-113449-b4008fc5,2026-07-04 11:35:04,order-***,registered,normal,LIMA-LA VICTORIA,20/07/2026,10:00,,confirmed,portal_success_text,,14.652,7.890,1.953,1.250,0.047,06-reserva-respuesta-portal-intento-1-***-113449-b4008fc5-order-***-aefc2c16a86446ce89ea8865730df1e0.png,06-reserva-respuesta-portal-intento-1-***-113449-b4008fc5-order-***-aefc2c16a86446ce89ea8865730df1e0.png | 05-reserva-antes-de-enviar-intento-1-***-113449-b4008fc5-order-***-660058bc6fc2438b88080974a15e9cc6.png | 03-modal-reserva-citas-cupo-disponible-***-113449-b4008fc5-order-***-1a86e4c435874f3a9814af206d5d5d80.png | screenshots\04-07-2026\05-reserva-antes-de-enviar-intento-1-***-113449-b4008fc5-order-***-660058bc6fc2438b88080974a15e9cc6.png | screenshots\04-07-2026\06-reserva-respuesta-portal-intento-1-***-113449-b4008fc5-order-***-aefc2c16a86446ce89ea8865730df1e0.png | screenshots\04-07-2026\diagnostics\06-reserva-respuesta-portal-html-intento-1-***-113449-b4008fc5-order-***-.html | screenshots\04-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-113449-b4008fc5-order-***-a649b078e02a4d7689b3f73999a9017a-original-html.png,La reserva fue confirmada por mensaje de exito del portal.
